"","EE-SRS267689","L2-SRS183252","L2-SRS267690","L4-SRS183253","YA_female-SRS267691","YA_male-SRS267692"
"WBGene00073941",-1.39605466525867,0.878080673800643,-0.617483328279427,1.30586979600197,-0.413155047320653,0.419366091133542
"WBGene00078362",-0.0135850284362545,-0.706881826920514,-2.71264056131977,-1.01605829888539,-5.54243806426562,-2.18397493890247
"WBGene00078364",-1.95548207387269,-0.706881826920514,-3.8501440850697,-1.01605829888539,-1.51210198589466,-2.51425037650335
"WBGene00078363",-3.88148149242891,-0.706881826920514,-3.00214717851475,-1.01605829888539,-0.498043944907166,-1.42498303840626
"WBGene00074297",4.33380881322232,0.878080673800643,1.32777370712614,0.568904201835763,2.53437753278521,0.857052329357586
"WBGene00074299",2.99626275752009,3.200008768688,2.09002266541312,3.07140454236495,2.47437022342093,2.78801068492793
"WBGene00074298",6.64338535552177,4.11788602622278,4.79611939589417,3.84192269624218,4.83765497465605,3.36905467649424
"WBGene00074760",5.53341511178259,12.1998209055403,9.80583377741724,11.5988815484253,9.81843164755805,8.931952050211
"WBGene00074759",3.00847870722973,4.04800567524295,3.83915507546619,4.6563670430861,3.7266886148838,4.28425746108867
"WBGene00074761",-3.88148149242891,-0.706881826920514,-1.23378638807301,-1.01605829888539,-1.84199834612453,-1.71448965560125
"WBGene00074758",2.79940542829078,-0.706881826920514,1.11333003890518,-1.01605829888539,1.4348418592343,0.499289635430491
"WBGene00079474",-0.422049873791612,-0.706881826920514,-6.17207217995706,-1.01605829888539,-5.54243806426562,-5.88441465704356
"WBGene00074974",1.19746984896591,-0.706881826920514,-6.17207217995706,-1.01605829888539,-5.54243806426562,-5.88441465704356
"WBGene00079475",2.04613056499695,-0.706881826920514,-6.17207217995706,-1.01605829888539,-5.54243806426562,-5.88441465704356
"WBGene00074449",-6.20340958731627,1.41081321574924,-3.8501440850697,3.58919896405361,-0.346303183500458,3.71523788162872
"WBGene00074100",2.14239481264553,0.878080673800643,1.31174359730719,1.30586979600197,0.996720746842412,1.01040310626438
"WBGene00074099",3.22495058538802,0.878080673800643,3.85721504701118,2.6843814192557,2.56608639251255,2.41020609184807
"WBGene00080074",1.91210230985609,4.01230161356128,0.367086631150968,4.15386670255692,2.05747477792151,2.12120989215032
"WBGene00080354",2.51310124313414,0.141115079634436,-1.00214717851475,2.86756251740028,2.17139519592066,1.12793053337627
"WBGene00080503",-6.20340958731627,1.61504626796685,-6.17207217995706,3.07140454236495,-5.54243806426562,-5.88441465704356
"WBGene00080502",-6.20340958731627,5.07447788660415,-6.17207217995706,4.91467903867749,-5.54243806426562,-5.88441465704356
"WBGene00074478",-1.15290788986954,2.01558419755058,1.14081077532729,3.07986612111314,-5.54243806426562,-2.71448965560125
"WBGene00075307",6.66556725814289,3.54104568652307,4.2832550403475,3.07140454236495,4.26652611065364,3.58115174776584
"WBGene00073630",2.16413621278907,4.02972304839373,-2.08460933870672,4.06289304250943,2.43335259594792,3.46134539801096
"WBGene00073631",2.23021757976851,0.878080673800643,-0.794254326873419,2.65975763228688,4.84697817211082,2.25134592397261
"WBGene00075619",2.59639008081686,-0.706881826920514,-2.47163246181597,-1.01605829888539,-0.787550562102151,-2.18397493890247
"WBGene00074692",-1.4485220851528,-0.706881826920514,1.20591914694882,-1.01605829888539,-0.0830064456283222,-0.156494202480362
"WBGene00074693",0.272323843650126,-0.706881826920514,2.87232193940139,-1.01605829888539,2.22574626051131,2.52072680609278
"WBGene00075338",-6.20340958731627,4.42240119002445,5.13341961215362,3.93813801150148,2.98894339625069,4.87713657540092
"WBGene00075337",-6.20340958731627,-0.706881826920514,-6.17207217995706,4.02833582047306,-0.684457069138047,6.07268738451873
"WBGene00081462",-6.20340958731627,0.878080673800643,0.72274558335088,-1.01605829888539,-5.54243806426562,-5.88441465704356
"WBGene00081620",3.39091501660858,-0.706881826920514,0.698292539626341,2.15386670255692,2.74296415459663,1.63128518124048
"WBGene00081619",4.05750994634663,0.878080673800643,2.9364522768211,-1.01605829888539,2.50741048518494,1.99210228952144
"WBGene00075648",4.14421178125186,-0.706881826920514,3.76161847499517,2.6843814192557,3.71730519942516,3.48409180446413
"WBGene00082693",3.02781159339491,2.4630431745218,0.72274558335088,2.15386670255692,2.71022736818463,1.79506544246189
"WBGene00076388",-6.20340958731627,0.878080673800643,0.486139302794731,1.30586979600197,-1.84199834612453,-2.42498303840626
"WBGene00082886",0.478320768119573,0.878080673800643,-1.28162548727716,-1.01605829888539,-1.01887610820861,-2.22220915738994
"WBGene00082885",2.76623594828713,1.61504626796685,1.34882146051636,0.568904201835763,1.32372810477342,0.69059506325139
"WBGene00063851",2.28241972138563,1.61504626796685,2.62396742887271,1.79129662317221,2.59198825595531,2.64891507526227
"WBGene00082957",0.764681164728984,0.519626702888166,-1.81170790341359,0.68881366557096,0.45891382873434,-0.397056941732013
"WBGene00078755",1.91376595837589,2.75254979171678,2.2472138806934,1.79129662317221,1.797411938619,2.01645215093719
"WBGene00055526",-3.88148149242891,-0.706881826920514,-6.17207217995706,3.07140454236495,0.0722717798495887,5.6906518075351
"WBGene00055528",3.12526534001168,3.93697436285421,4.56855186453235,4.59865154522981,6.84584835549703,5.93775780443262
"WBGene00055533",6.45814585515149,5.83227698418752,5.1887749042226,5.39333263725231,4.99672074684241,4.8553659527297
"WBGene00078747",4.80010832479233,2.4630431745218,4.64170901125997,2.6843814192557,4.21911316817886,3.84520608650948
"WBGene00055536",3.90249892125489,3.68543559585825,4.64890451266418,4.02833582047306,4.11398679901216,3.3177091667869
"WBGene00055540",-6.20340958731627,-0.706881826920514,-3.8501440850697,2.6843814192557,0.388299273297267,5.77424313508252
"WBGene00055541",-0.711556490986597,-0.706881826920514,-0.745807425254966,-1.01605829888539,-1.45497522301528,-1.24055846726884
"WBGene00055542",0.100371160860831,-0.706881826920514,0.596112144819862,1.30586979600197,-0.257035845403371,-0.329825805365924
"WBGene00078729",-0.530984245344776,-0.706881826920514,1.0276001648793,-1.01605829888539,-0.898581874490895,-1.02643366191599
"WBGene00055545",5.59870283126979,2.99355789122058,4.36805585862504,2.6843814192557,4.73949196268982,4.64012705799229
"WBGene00055547",2.51426683575012,4.65067017769757,6.07674487932144,4.34149370573269,5.39787553288035,5.63079237336519
"WBGene00055550",6.4142874419916,2.99355789122058,4.74902490814973,3.62779789088933,4.59070414813498,4.43638589183808
"WBGene00055552",2.61995765272996,2.4630431745218,4.46726852869517,4.91467903867749,4.95241752022558,5.28988688742407
"WBGene00055553",-2.74397796867897,-0.706881826920514,0.648106782458124,-1.01605829888539,-1.45497522301528,3.82466915550678
"WBGene00078730",-6.20340958731627,-0.706881826920514,-6.17207217995706,-1.01605829888539,-3.22050996937826,1.10427002972861
"WBGene00055559",-2.29651899170775,-0.706881826920514,-3.00214717851475,-1.01605829888539,-5.54243806426562,-0.526862652425477
"WBGene00055562",-1.4485220851528,-0.706881826920514,-0.289429130595223,-1.01605829888539,-1.6355474686571,0.623379983155135
"WBGene00055563",4.99564923633675,9.5888871075,8.51743447539035,9.39651154791982,9.90783885775868,9.84049882352441
"WBGene00055567",6.04362783147231,-0.706881826920514,3.9325265736073,2.15386670255692,4.37791479114946,3.63325473109025
"WBGene00055568",3.7522403202121,3.68543559585825,4.86478826671598,2.15386670255692,2.73833270586498,3.26024358578832
"WBGene00055569",2.65145879594396,-0.706881826920514,2.08059325249318,2.15386670255692,2.21911316817886,2.58726055734848
"WBGene00055571",7.23186999932781,6.30434542850274,7.32590436590548,6.16385079112954,7.06812543965942,6.4332805887216
"WBGene00055574",7.18123927473613,7.59232619146677,8.4924862136087,6.78484160103491,8.10085446266119,7.46279144789756
"WBGene00055575",7.12006744583415,5.70250910921719,6.08678825145269,4.34149370573269,5.41030318292087,5.26554834257345
"WBGene00055578",6.93197906426277,6.97259827258493,7.11809069882721,6.24132954380726,6.43197652553991,6.1250640888445
"WBGene00055584",3.07967876570773,-0.706881826920514,2.07110180351589,2.4433733197519,1.71494977842703,2.0284746791864
"WBGene00055586",3.00360473286126,-0.706881826920514,1.79947137399371,1.30586979600197,1.49098493727183,1.87713657540092
"WBGene00055588",5.09178536856438,1.61504626796685,3.50564746168394,-1.01605829888539,3.16836836943373,3.36588376086277
"WBGene00055589",3.57302344512846,2.99355789122058,3.34165541599537,2.15386670255692,3.04627657131664,2.7412941860209
"WBGene00055599",-6.20340958731627,0.519626702888166,-2.08460933870672,1.79129662317221,0.63428362861543,5.47112364720158
"WBGene00055603",-6.20340958731627,-0.706881826920514,-4.58710967923591,-1.01605829888539,-2.37251306282331,4.04484375159341
"WBGene00055604",-6.20340958731627,-0.706881826920514,-4.58710967923591,-1.01605829888539,-3.22050996937826,2.40560418988906
"WBGene00055609",-0.0135850284362545,2.99355789122058,3.70904178071803,2.15386670255692,1.90877304756671,2.82639177665579
"WBGene00055611",6.25088970630363,10.9392268145856,9.95151052538325,9.99586776742141,10.2869462517656,9.20999297603765
"WBGene00055612",6.66791814881774,5.12600818724423,5.99000439041725,3.62779789088933,4.70826302019553,4.0043285918547
"WBGene00055614",3.60233428483535,3.38058101432983,1.92068496096279,2.15386670255692,2.81070876123246,1.76663703413537
"WBGene00055615",5.29859673122801,-0.706881826920514,3.04951494130774,2.15386670255692,3.89010383612264,3.18436362094185
"WBGene00055618",4.75731640752279,3.68543559585825,4.35246953507878,4.19339506674356,5.95191753926723,4.34320128637066
"WBGene00055619",3.6467772503295,3.38058101432983,5.39160077987045,3.62779789088933,3.70786035364071,4.1421087854762
"WBGene00055622",6.04777691620806,2.4630431745218,4.08413650857032,2.15386670255692,3.93936136740013,3.28801285160192
"WBGene00055623",4.91553148540724,2.4630431745218,4.34658097571633,2.15386670255692,2.69118161249408,3.27293227831928
"WBGene00055626",-3.03348458587396,-0.706881826920514,-0.557362335841856,-1.01605829888539,-1.84199834612453,-0.840020537685107
"WBGene00055627",2.95898174144063,-0.706881826920514,1.08531566273559,-1.01605829888539,0.290451949899122,0.38237188365134
"WBGene00055632",-6.20340958731627,-0.706881826920514,-6.17207217995706,1.30586979600197,-1.45497522301528,4.39751536991188
"WBGene00055634",-6.20340958731627,-0.706881826920514,-6.17207217995706,1.30586979600197,-1.15012064148686,2.66633212833968
"WBGene00055637",0.666955132267133,3.38058101432983,4.48345854319858,4.47579479744428,5.53237239689483,6.07305018976165
"WBGene00055639",6.73782146298678,3.68543559585825,4.30061865928572,2.15386670255692,4.5958337359066,3.62931293890888
"WBGene00055640",4.27029616230314,4.78497126940916,4.17222372795875,4.19339506674356,4.54104126306622,4.23841333776411
"WBGene00055643",7.66637701362951,5.4829427319595,6.90641223745439,6.48378758819781,6.59998813805336,5.71363784311804
"WBGene00055645",1.4619263298689,2.4630431745218,6.03402643403873,2.6843814192557,-1.6355474686571,1.44650222107106
"WBGene00055647",-6.20340958731627,-0.706881826920514,-4.58710967923591,1.30586979600197,-1.01887610820861,4.19906467028828
"WBGene00055648",-1.55955339754155,-0.706881826920514,-1.4171846777936,2.6843814192557,3.26813357047553,0.38237188365134
"WBGene00055652",3.51597923362581,1.61504626796685,3.96363710614734,-1.01605829888539,4.12644692000063,3.98440789773144
"WBGene00055654",2.01090953348449,4.50257153870844,3.09237042026954,1.30586979600197,2.92923715012642,2.20834248387629
"WBGene00055657",7.2992979268481,2.4630431745218,4.1887749042226,3.62779789088933,5.64305685994525,5.32564782619667
"WBGene00055661",-1.3454285921887,-0.706881826920514,2.64491144329832,-1.01605829888539,0.866952871872082,3.31280203606649
"WBGene00055663",-3.88148149242891,1.61504626796685,4.49415182284612,1.30586979600197,2.66213307998358,3.3563766751184
"WBGene00055667",-1.15901546795782,-0.706881826920514,-0.105982989499291,-1.01605829888539,-5.54243806426562,-1.36085270098655
"WBGene00055668",1.75659234475181,-0.706881826920514,-3.8501440850697,-1.01605829888539,-2.37251306282331,-3.5624865621562
"WBGene00055670",-2.50296986917518,-0.706881826920514,2.34756407288615,-1.01605829888539,4.8293385800723,4.77111606611208
"WBGene00055673",6.95156670330947,-0.706881826920514,-0.745807425254966,1.30586979600197,4.89114737688487,1.67782776717751
"WBGene00055674",5.71433542612694,1.61504626796685,4.70980652764338,2.15386670255692,4.6923793668517,3.81775802832199
